timestamp	commit	toffoli	clifford	qubits	ops	correct	notes
1787249903	31f9c58	1284771.126	5304940.898	1150	9018685	FAIL	probe-600 | CLASSICAL MISMATCH shot 280: got (0xdce9b8027bff889d63312052a2693510a229be9cee82d456d7092097ee8f14ad,0x857d119d10749b8ede60e586b924de34b99c4b2f5e0ce88747fb6d626c734370) exp (0x4f664c017770f908a6618b380616528b2f4cb2c755a0cc9c6c17584ee9825c81,0x55c346925784e333f61d5487392f30396664548fbcb0f4f918bf19fcea37d5e4)
1787249937	31f9c58	1284762.800	5304870.111	1150	9018685	FAIL	probe-700 | CLASSICAL MISMATCH shot 473: got (0x940e99389952ac5619f8706abcf13e526953d0256007c546bef74d9ff91367cb,0x93de06cb11d169d2da0e9b64effe4a7e1e68877f4a22e1adb4dd26ee514160f4) exp (0x31c3982ec4298ea7c229b96e6ef13e526953d0256007c546bef74d9ff91367cb,0x1469ee059c9f7d36a2d8649b4365144b9ae9f3ff88bb679d9a5bcf8fc511074a)
1787249971	31f9c58	1284758.788	5304839.769	1150	9018685	FAIL	probe-800 | CLASSICAL MISMATCH shot 427: got (0x2029aa657c38273409b84e2f906d2fe92d3f8b166470fe13fe05068b5646350a,0xa9410e0be4b5e2b3cfe07b210c2311de04b7b846ac3b555b56736a70f26da18f) exp (0x19cf671c2e33ecf6c69f20066722b341b9c4d7fdb8236b876f270b702b940ac,0xf984fe966bdfcd2020fa629e06610401277514af56933b3bd917c8420a86e2bc)
1787250005	31f9c58	1284752.064	5304787.224	1150	9018685	FAIL	probe-900 | PHASE GARBAGE: global_phase = 0x0000000000000800 across 64 live shots (must be 0)
1787250039	31f9c58	1284766.954	5304907.570	1150	9018685	FAIL	probe-1000 | CLASSICAL MISMATCH shot 1403: got (0x5b00b04d6481c3da95d23eff5f9d2aef262fad5498574e652bc358007c5f507,0xf22e31d8def8c9fb96f4121a7e4fec59caef8ae83df77e8a634eafb2e5ddad38) exp (0x5b00b04d6481c3da95d23eff5f9d2aef262fad5498574e652bc358007c5f507,0xd2c3a6ea145ad1577b57b58f918052cdfe9f8e273a5a989d566a973bd25d2e7b)
1787250073	31f9c58	1284764.067	5304892.428	1150	9018685	FAIL	probe-1100 | PHASE GARBAGE: global_phase = 0x0000000001000000 across 64 live shots (must be 0)
1787250108	31f9c58	1284759.365	5304845.546	1150	9018685	FAIL	probe-1200 | CLASSICAL MISMATCH shot 112: got (0xe59797d69c81ce98501fab289cc223a487b2aca09e44bfd3dd0cf0fcead77aad,0x3a8c4b5fb5a8f756b367cb2bb15a0a560460795b11965a0604b1bf0d8178819) exp (0x201e0ef8f1ffdd4e984078bbb5b49140ac6f6114979dc60f963f637c0275b8d4,0x34a4f14c19571533761dce67851f2e36a7443bcee638dad11f31ca7d177528a6)
1787250148	31f9c58	1284770.586	5304949.401	1150	9018685	FAIL	probe-100 | PHASE GARBAGE: global_phase = 0x0020000000000000 across 64 live shots (must be 0)
1787250189	31f9c58	1284769.712	5304942.814	1150	9018685	FAIL	probe-200 | CLASSICAL MISMATCH shot 290: got (0x39d691d128ade2b869e61377a356f68d85c13b6e8fa006f5f3379beec073db72,0x44c84918c75b7a1f9237cfaf4cd09de75c91db5b8e151dfcf70960e0ec29e707) exp (0xba88fc5486380b4e8d7d1aedfbef1e56050c7142c6f2f6cca6d61bcd802fbe9c,0x34e32c1ba7a307b9554dacdae9f8984fde06890b68350750450a831a3c17cf4a)
1787250232	31f9c58	1284768.778	5304933.844	1150	9018685	FAIL	probe-300 | CLASSICAL MISMATCH shot 471: got (0x2a7d14ea446bd39159d81e1776055db6ec2e27bdeff6111defcf522413d13759,0xae597336c2a96c80a9381dea18bbbb0c458735d250687aa0a7330fffef3d9b37) exp (0x2a7d14ea446bd39159d81e1776055db6ec2e27bdeff6111defcf522413d13759,0x59cee77235d9900f6d49476ba5dc890457cd80ce9f094c7e08eae4633170c4f1)
1787250268	31f9c58	1284752.084	5304769.831	1150	9018685	FAIL	probe-400 | CLASSICAL MISMATCH shot 359: got (0x499107d3aadf5a4c61da118ca1076c78e6b57f39043ec60afe30d60dcdd06423,0x8e55e1d6a4357223ac11c117142a727323d03686635cbaeccc21b0d65edb0a4c) exp (0xf6e9a0f2ad97bdfb4fcc55e55c684cb8e6b57f39043ec60afe30d60ccdd06052,0x47b96c18dd2aa04b885fffed3a4761d64ae23b2fd8c2782bd47fa9612d2cddcb)
1787250302	31f9c58	1284771.420	5304957.741	1150	9018685	FAIL	probe-500 | PHASE GARBAGE: global_phase = 0x0000000000000100 across 64 live shots (must be 0)
1787250339	31f9c58	1284771.126	5304940.898	1150	9018685	FAIL	probe-600 | CLASSICAL MISMATCH shot 280: got (0xdce9b8027bff889d63312052a2693510a229be9cee82d456d7092097ee8f14ad,0x857d119d10749b8ede60e586b924de34b99c4b2f5e0ce88747fb6d626c734370) exp (0x4f664c017770f908a6618b380616528b2f4cb2c755a0cc9c6c17584ee9825c81,0x55c346925784e333f61d5487392f30396664548fbcb0f4f918bf19fcea37d5e4)
1787250377	31f9c58	1284762.800	5304870.111	1150	9018685	FAIL	probe-700 | CLASSICAL MISMATCH shot 473: got (0x940e99389952ac5619f8706abcf13e526953d0256007c546bef74d9ff91367cb,0x93de06cb11d169d2da0e9b64effe4a7e1e68877f4a22e1adb4dd26ee514160f4) exp (0x31c3982ec4298ea7c229b96e6ef13e526953d0256007c546bef74d9ff91367cb,0x1469ee059c9f7d36a2d8649b4365144b9ae9f3ff88bb679d9a5bcf8fc511074a)
1787250421	31f9c58	1284758.788	5304839.769	1150	9018685	FAIL	probe-800 | CLASSICAL MISMATCH shot 427: got (0x2029aa657c38273409b84e2f906d2fe92d3f8b166470fe13fe05068b5646350a,0xa9410e0be4b5e2b3cfe07b210c2311de04b7b846ac3b555b56736a70f26da18f) exp (0x19cf671c2e33ecf6c69f20066722b341b9c4d7fdb8236b876f270b702b940ac,0xf984fe966bdfcd2020fa629e06610401277514af56933b3bd917c8420a86e2bc)
1787250654	31f9c58	1284765.965	5304918.566	1150	9018685	FAIL	probe-rand-540988616 | CLASSICAL MISMATCH shot 378: got (0x2bca2b44777b6d214384194ccf26ad134c20ca5addb6fbb8f7c31cdb355e7f22,0xe184f61f96415a579a6e555d771bfd781d391cfc6de9ff0f3c6c2aa373db597c) exp (0xc77205ab0540b4f797bcfe073d6d60cf45f180d1e35f54ef0f7a9dfe74a28dff,0x52c20c7e25ff17cfd79d4d47dbbf8c32a234dd4425998d37bf8c616d680b8f05)
1787250692	31f9c58	1284770.216	5304957.081	1150	9018685	FAIL	probe-rand-482748237 | CLASSICAL MISMATCH shot 239: got (0x201d19ec470f16af50c3b43f11702fe840255b63191381f413a6d8f4128582cb,0xef5b46b264d7f8ba02b55db21a2bda90e144fd37d09f033c3c1da743ee3c1be0) exp (0xe3d71ac2a1cd4060d16145f9736dd01867fdc3dd996722517278786cc74f26f5,0xb76331ba3ffba32ee9080b8a4d3d3b80aefaaf6795c4b05342eaf6ed6ddf62a1)
1787250735	31f9c58	1284775.794	5304982.496	1150	9018685	FAIL	probe-rand-972489830 | CLASSICAL MISMATCH shot 77: got (0x237dd375a1093b3707c63b06fafe6e1274732e6c68e3ae90608cb8a0b858d402,0xd68a85a113dd9f1e551a0ec20ecf5ca4280b409385068651623edadb276b0e5) exp (0x9683a58f9c639c4a3c0c12c39686d8537ea21569f15008e38e99cba1a6d89ee5,0xd127db72e0068c7b686b8882329f7db89df7f2818bba0c724480867685863a34)
1787250840	31f9c58	1284762.341	5304858.146	1150	9018685	FAIL	probe-rand-109107276 | PHASE GARBAGE: global_phase = 0x0040000000000000 across 64 live shots (must be 0)
