call	phase	width	base	selected	effective	entry_active	local_peak	ops_added
72	tlm_apply_inverse_mod_sub_register	256	93	91	83	1071	1071	4262
73	tlm_apply_inverse_mod_sub_register	256	94	92	84	1070	1070	4262
74	tlm_apply_inverse_mod_sub_register	256	93	91	83	1071	1071	4262
75	tlm_apply_inverse_mod_sub_register	256	92	90	82	1072	1072	4262
76	tlm_apply_inverse_mod_sub_register	256	93	91	83	1071	1071	4262
77	tlm_apply_inverse_mod_sub_register	256	92	90	82	1072	1072	4262
78	tlm_apply_inverse_mod_sub_register	256	91	89	81	1073	1073	4262
79	tlm_apply_inverse_mod_sub_register	256	92	90	82	1072	1072	4262
80	tlm_apply_inverse_mod_sub_register	256	91	89	81	1073	1073	4262
81	tlm_apply_inverse_mod_sub_register	256	90	88	80	1074	1074	4262
82	tlm_apply_inverse_mod_sub_register	256	91	89	81	1073	1073	4262
83	tlm_apply_inverse_mod_sub_register	256	90	88	80	1074	1074	4262
84	tlm_apply_inverse_mod_sub_register	256	89	87	79	1075	1075	4262
85	tlm_apply_inverse_mod_sub_register	256	90	88	80	1074	1074	4262
86	tlm_apply_inverse_mod_sub_register	256	89	87	79	1075	1075	4262
87	tlm_apply_inverse_mod_sub_register	256	88	86	78	1076	1076	4262
88	tlm_apply_inverse_mod_sub_register	256	89	87	79	1075	1075	4262
89	tlm_apply_inverse_mod_sub_register	256	88	86	78	1076	1076	4262
90	tlm_apply_inverse_mod_sub_register	256	87	85	77	1077	1077	4262
91	tlm_apply_inverse_mod_sub_register	256	88	86	78	1076	1076	4262
92	tlm_apply_inverse_mod_sub_register	256	87	85	77	1077	1077	4262
93	tlm_apply_inverse_mod_sub_register	256	86	84	76	1078	1078	4262
94	tlm_apply_inverse_mod_sub_register	256	85	83	75	1079	1079	4262
95	tlm_apply_inverse_mod_sub_register	256	84	82	74	1080	1080	4262
96	tlm_apply_inverse_mod_sub_register	256	85	83	75	1079	1079	4262
97	tlm_apply_inverse_mod_sub_register	256	86	84	76	1078	1078	4262
98	tlm_apply_inverse_mod_sub_register	256	85	83	75	1079	1079	4262
99	tlm_apply_inverse_mod_sub_register	256	84	82	74	1080	1080	4262
100	tlm_apply_inverse_mod_sub_register	256	85	83	75	1079	1079	4262
101	tlm_apply_inverse_mod_sub_register	256	82	80	76	1078	1078	4262
102	tlm_apply_inverse_mod_sub_register	256	83	81	77	1077	1077	4262
103	tlm_apply_inverse_mod_sub_register	256	82	80	76	1078	1078	4262
104	tlm_apply_inverse_mod_sub_register	256	81	79	75	1079	1079	4262
105	tlm_apply_inverse_mod_sub_register	256	80	78	74	1080	1080	4262
106	tlm_apply_inverse_mod_sub_register	256	83	81	77	1077	1077	4262
107	tlm_apply_inverse_mod_sub_register	256	80	78	74	1080	1080	4262
108	tlm_apply_inverse_mod_sub_register	256	79	77	73	1081	1081	4262
109	tlm_apply_inverse_mod_sub_register	256	82	80	76	1078	1078	4262
110	tlm_apply_inverse_mod_sub_register	256	79	77	73	1081	1081	4262
111	tlm_apply_inverse_mod_sub_register	256	78	76	72	1082	1082	4262
112	tlm_apply_inverse_mod_sub_register	256	79	77	73	1081	1081	4262
113	tlm_apply_inverse_mod_sub_register	256	78	76	72	1082	1082	4262
114	tlm_apply_inverse_mod_sub_register	256	77	75	71	1083	1083	4262
115	tlm_apply_inverse_mod_sub_register	256	78	76	72	1082	1082	4262
116	tlm_apply_inverse_mod_sub_register	256	77	75	71	1083	1083	4262
117	tlm_apply_inverse_mod_sub_register	256	78	76	72	1082	1082	4262
118	tlm_apply_inverse_mod_sub_register	256	79	77	73	1081	1081	4262
119	tlm_apply_inverse_mod_sub_register	256	78	76	72	1082	1082	4262
120	tlm_apply_inverse_mod_sub_register	256	77	75	71	1083	1083	4262
121	tlm_apply_inverse_mod_sub_register	256	78	76	72	1082	1082	4262
122	tlm_apply_inverse_mod_sub_register	256	75	73	69	1085	1085	4262
123	tlm_apply_inverse_mod_sub_register	256	74	72	68	1086	1086	4262
124	tlm_apply_inverse_mod_sub_register	256	75	73	69	1085	1085	4262
125	tlm_apply_inverse_mod_sub_register	256	76	74	70	1084	1084	4262
126	tlm_apply_inverse_mod_sub_register	256	73	71	67	1087	1087	4262
127	tlm_apply_inverse_mod_sub_register	256	74	72	68	1086	1086	4262
128	tlm_apply_inverse_mod_sub_register	256	73	71	67	1087	1087	4262
129	tlm_apply_inverse_mod_sub_register	256	72	70	66	1088	1088	4575
130	tlm_apply_inverse_mod_sub_register	256	73	71	67	1087	1087	4262
131	tlm_apply_inverse_mod_sub_register	256	72	70	66	1088	1088	4575
132	tlm_apply_inverse_mod_sub_register	256	71	69	65	1089	1089	4575
133	tlm_apply_inverse_mod_sub_register	256	72	70	66	1088	1088	4575
134	tlm_apply_inverse_mod_sub_register	256	71	69	65	1089	1089	4575
135	tlm_apply_inverse_mod_sub_register	256	72	70	66	1088	1088	4575
136	tlm_apply_inverse_mod_sub_register	256	73	71	67	1087	1087	4262
137	tlm_apply_inverse_mod_sub_register	256	72	70	66	1088	1088	4575
138	tlm_apply_inverse_mod_sub_register	256	71	69	65	1089	1089	4575
139	tlm_apply_inverse_mod_sub_register	256	72	70	66	1088	1088	4575
140	tlm_apply_inverse_mod_sub_register	256	71	69	65	1089	1089	4575
141	tlm_apply_inverse_mod_sub_register	256	68	66	62	1092	1092	4575
142	tlm_apply_inverse_mod_sub_register	256	69	67	63	1091	1091	4575
143	tlm_apply_inverse_mod_sub_register	256	68	66	62	1092	1092	4575
144	tlm_apply_inverse_mod_sub_register	256	69	67	63	1091	1091	4575
145	tlm_apply_inverse_mod_sub_register	256	68	66	62	1092	1092	4575
146	tlm_apply_inverse_mod_sub_register	256	69	67	63	1091	1091	4575
147	tlm_apply_inverse_mod_sub_register	256	68	66	62	1092	1092	4575
148	tlm_apply_inverse_mod_sub_register	256	69	67	63	1091	1091	4575
149	tlm_apply_inverse_mod_sub_register	256	68	66	62	1092	1092	4575
150	tlm_apply_inverse_mod_sub_register	256	67	65	61	1093	1093	4575
151	tlm_apply_inverse_mod_sub_register	256	68	66	62	1092	1092	4575
152	tlm_apply_inverse_mod_sub_register	256	67	65	61	1093	1093	4575
153	tlm_apply_inverse_mod_sub_register	256	66	64	60	1094	1094	4575
154	tlm_apply_inverse_mod_sub_register	256	67	65	61	1093	1093	4575
155	tlm_apply_inverse_mod_sub_register	256	66	64	60	1094	1094	4575
156	tlm_apply_inverse_mod_sub_register	256	65	63	59	1095	1095	4575
157	tlm_apply_inverse_mod_sub_register	256	66	64	60	1094	1094	4575
158	tlm_apply_inverse_mod_sub_register	256	65	63	59	1095	1095	4575
159	tlm_apply_inverse_mod_sub_register	256	64	62	58	1096	1096	4575
160	tlm_apply_inverse_mod_sub_register	256	65	63	59	1095	1095	4575
161	tlm_apply_inverse_mod_sub_register	256	64	62	58	1096	1096	4575
162	tlm_apply_inverse_mod_sub_register	256	63	61	57	1097	1097	4575
163	tlm_apply_inverse_mod_sub_register	256	64	62	58	1096	1096	4575
164	tlm_apply_inverse_mod_sub_register	256	63	61	57	1097	1097	4575
165	tlm_apply_inverse_mod_sub_register	256	62	60	56	1098	1098	4575
166	tlm_apply_inverse_mod_sub_register	256	63	61	57	1097	1097	4575
167	tlm_apply_inverse_mod_sub_register	256	62	60	56	1098	1098	4575
168	tlm_apply_inverse_mod_sub_register	256	61	59	55	1099	1099	4888
169	tlm_apply_inverse_mod_sub_register	256	62	60	56	1098	1098	4575
170	tlm_apply_inverse_mod_sub_register	256	61	59	55	1099	1099	4888
171	tlm_apply_inverse_mod_sub_register	256	60	58	54	1100	1100	4888
172	tlm_apply_inverse_mod_sub_register	256	61	59	55	1099	1099	4888
173	tlm_apply_inverse_mod_sub_register	256	60	58	54	1100	1100	4888
174	tlm_apply_inverse_mod_sub_register	256	59	57	53	1101	1101	4888
175	tlm_apply_inverse_mod_sub_register	256	60	58	54	1100	1100	4888
176	tlm_apply_inverse_mod_sub_register	256	59	57	53	1101	1101	4888
177	tlm_apply_inverse_mod_sub_register	256	58	56	52	1102	1102	4888
178	tlm_apply_inverse_mod_sub_register	256	59	57	53	1101	1101	4888
179	tlm_apply_inverse_mod_sub_register	256	58	56	52	1102	1102	4888
180	tlm_apply_inverse_mod_sub_register	256	57	55	51	1103	1103	4888
181	tlm_apply_inverse_mod_sub_register	256	58	56	52	1102	1102	4888
182	tlm_apply_inverse_mod_sub_register	256	57	55	51	1103	1103	4888
183	tlm_apply_inverse_mod_sub_register	256	56	54	50	1104	1104	4888
184	tlm_apply_inverse_mod_sub_register	256	57	55	51	1103	1103	4888
185	tlm_apply_inverse_mod_sub_register	256	56	54	50	1104	1104	4888
186	tlm_apply_inverse_mod_sub_register	256	55	53	49	1105	1105	4888
187	tlm_apply_inverse_mod_sub_register	256	56	54	50	1104	1104	4888
188	tlm_apply_inverse_mod_sub_register	256	55	53	49	1105	1105	4888
189	tlm_apply_inverse_mod_sub_register	256	54	52	48	1106	1106	4888
190	tlm_apply_inverse_mod_sub_register	256	55	53	49	1105	1105	4888
191	tlm_apply_inverse_mod_sub_register	256	54	52	48	1106	1106	4888
192	tlm_apply_inverse_mod_sub_register	256	53	51	47	1107	1107	5201
193	tlm_apply_inverse_mod_sub_register	256	54	52	48	1106	1106	4888
194	tlm_apply_inverse_mod_sub_register	256	53	51	47	1107	1107	5201
195	tlm_apply_inverse_mod_sub_register	256	52	50	46	1108	1108	5201
196	tlm_apply_inverse_mod_sub_register	256	53	51	47	1107	1107	5201
197	tlm_apply_inverse_mod_sub_register	256	52	50	46	1108	1108	5201
198	tlm_apply_inverse_mod_sub_register	256	51	49	45	1109	1109	5201
199	tlm_apply_inverse_mod_sub_register	256	52	50	46	1108	1108	5201
200	tlm_apply_inverse_mod_sub_register	256	51	49	45	1109	1109	5201
201	tlm_apply_inverse_mod_sub_register	256	50	48	44	1110	1110	5201
202	tlm_apply_inverse_mod_sub_register	256	51	49	45	1109	1109	5201
203	tlm_apply_inverse_mod_sub_register	256	50	48	44	1110	1110	5201
204	tlm_apply_inverse_mod_sub_register	256	49	47	43	1111	1111	5201
205	tlm_apply_inverse_mod_sub_register	256	50	48	44	1110	1110	5201
206	tlm_apply_inverse_mod_sub_register	256	49	47	43	1111	1111	5201
207	tlm_apply_inverse_mod_sub_register	256	48	46	42	1112	1112	5514
208	tlm_apply_inverse_mod_sub_register	256	49	47	43	1111	1111	5201
209	tlm_apply_inverse_mod_sub_register	256	48	46	42	1112	1112	5514
210	tlm_apply_inverse_mod_sub_register	256	47	45	41	1113	1113	5514
211	tlm_apply_inverse_mod_sub_register	256	48	46	42	1112	1112	5514
212	tlm_apply_inverse_mod_sub_register	256	47	45	41	1113	1113	5514
213	tlm_apply_inverse_mod_sub_register	256	46	44	40	1114	1114	5514
214	tlm_apply_inverse_mod_sub_register	256	47	45	41	1113	1113	5514
215	tlm_apply_inverse_mod_sub_register	256	46	44	40	1114	1114	5514
216	tlm_apply_inverse_mod_sub_register	256	45	43	39	1115	1115	5514
217	tlm_apply_inverse_mod_sub_register	256	46	44	40	1114	1114	5514
218	tlm_apply_inverse_mod_sub_register	256	45	43	39	1115	1115	5514
219	tlm_apply_inverse_mod_sub_register	256	44	42	38	1116	1116	5827
220	tlm_apply_inverse_mod_sub_register	256	45	43	39	1115	1115	5514
221	tlm_apply_inverse_mod_sub_register	256	44	42	38	1116	1116	5827
222	tlm_apply_inverse_mod_sub_register	256	43	41	37	1117	1117	5827
223	tlm_apply_inverse_mod_sub_register	256	44	42	38	1116	1116	5827
224	tlm_apply_inverse_mod_sub_register	256	43	41	37	1117	1117	5827
225	tlm_apply_inverse_mod_sub_register	256	42	40	36	1118	1118	6125
226	tlm_apply_inverse_mod_sub_register	256	43	41	37	1117	1117	5827
227	tlm_apply_inverse_mod_sub_register	256	42	40	36	1118	1118	6125
228	tlm_apply_inverse_mod_sub_register	256	41	39	35	1119	1119	6139
229	tlm_apply_inverse_mod_sub_register	256	42	40	36	1118	1118	6125
230	tlm_apply_inverse_mod_sub_register	256	41	39	35	1119	1119	6139
231	tlm_apply_inverse_mod_sub_register	256	40	38	34	1120	1120	6368
232	tlm_apply_inverse_mod_sub_register	256	41	39	35	1119	1119	6139
233	tlm_apply_inverse_mod_sub_register	256	40	38	34	1120	1120	6368
234	tlm_apply_inverse_mod_sub_register	256	39	37	33	1121	1121	6644
235	tlm_apply_inverse_mod_sub_register	256	40	38	34	1120	1120	6368
236	tlm_apply_inverse_mod_sub_register	256	39	37	33	1121	1121	6644
237	tlm_apply_inverse_mod_sub_register	256	38	36	32	1122	1122	6676
238	tlm_apply_inverse_mod_sub_register	256	39	37	37	1117	1117	5827
239	tlm_apply_inverse_mod_sub_register	256	38	36	36	1118	1118	6125
240	tlm_apply_inverse_mod_sub_register	256	37	35	35	1119	1119	6139
241	tlm_apply_inverse_mod_sub_register	256	38	36	36	1118	1118	6125
242	tlm_apply_inverse_mod_sub_register	256	37	35	35	1119	1119	6139
243	tlm_apply_inverse_mod_sub_register	256	36	34	34	1120	1120	6368
244	tlm_apply_inverse_mod_sub_register	256	35	33	33	1121	1121	6644
245	tlm_apply_inverse_mod_sub_register	256	34	32	32	1122	1122	6676
246	tlm_apply_inverse_mod_sub_register	256	31	29	29	1125	1125	6757
247	tlm_apply_inverse_mod_sub_register	256	32	30	30	1124	1124	6674
248	tlm_apply_inverse_mod_sub_register	256	31	29	29	1125	1125	6757
249	tlm_apply_inverse_mod_sub_register	256	30	28	28	1126	1126	6830
250	tlm_apply_inverse_mod_sub_register	256	29	27	27	1127	1127	6889
251	tlm_apply_inverse_mod_sub_register	256	28	26	26	1128	1128	6938
252	tlm_apply_inverse_mod_sub_register	256	25	23	23	1131	1131	6499
253	tlm_apply_inverse_mod_sub_register	256	24	22	22	1132	1132	6075
254	tlm_apply_inverse_mod_sub_register	256	25	23	23	1131	1131	6499
255	tlm_apply_inverse_mod_sub_register	256	22	20	20	1134	1134	5287
256	tlm_apply_inverse_mod_sub_register	256	25	23	23	1131	1131	6499
257	tlm_apply_inverse_mod_sub_register	256	24	22	22	1132	1132	6075
258	tlm_apply_inverse_mod_sub_register	256	24	22	19	1135	1135	4923
259	tlm_apply_inverse_mod_sub_register	256	24	22	18	1136	1136	4579
262	tlm_apply_forward_mod_add_register	256	24	22	18	1136	1136	4579
263	tlm_apply_forward_mod_add_register	256	24	22	19	1135	1135	4923
264	tlm_apply_forward_mod_add_register	256	24	22	22	1132	1132	6075
265	tlm_apply_forward_mod_add_register	256	25	23	23	1131	1131	6499
266	tlm_apply_forward_mod_add_register	256	22	20	20	1134	1134	5287
267	tlm_apply_forward_mod_add_register	256	25	23	23	1131	1131	6499
268	tlm_apply_forward_mod_add_register	256	24	22	22	1132	1132	6075
269	tlm_apply_forward_mod_add_register	256	25	23	23	1131	1131	6499
270	tlm_apply_forward_mod_add_register	256	28	26	26	1128	1128	6938
271	tlm_apply_forward_mod_add_register	256	29	27	27	1127	1127	6889
272	tlm_apply_forward_mod_add_register	256	30	28	28	1126	1126	6830
273	tlm_apply_forward_mod_add_register	256	31	29	29	1125	1125	6757
274	tlm_apply_forward_mod_add_register	256	32	30	30	1124	1124	6674
275	tlm_apply_forward_mod_add_register	256	31	29	29	1125	1125	6757
276	tlm_apply_forward_mod_add_register	256	34	32	32	1122	1122	6676
277	tlm_apply_forward_mod_add_register	256	35	33	33	1121	1121	6644
278	tlm_apply_forward_mod_add_register	256	36	34	34	1120	1120	6368
279	tlm_apply_forward_mod_add_register	256	37	35	35	1119	1119	6139
280	tlm_apply_forward_mod_add_register	256	38	36	36	1118	1118	6125
281	tlm_apply_forward_mod_add_register	256	37	35	35	1119	1119	6139
282	tlm_apply_forward_mod_add_register	256	38	36	36	1118	1118	6125
283	tlm_apply_forward_mod_add_register	256	39	37	37	1117	1117	5827
284	tlm_apply_forward_mod_add_register	256	38	36	32	1122	1122	6676
285	tlm_apply_forward_mod_add_register	256	39	37	33	1121	1121	6644
286	tlm_apply_forward_mod_add_register	256	40	38	34	1120	1120	6368
287	tlm_apply_forward_mod_add_register	256	39	37	33	1121	1121	6644
288	tlm_apply_forward_mod_add_register	256	40	38	34	1120	1120	6368
289	tlm_apply_forward_mod_add_register	256	41	39	35	1119	1119	6139
290	tlm_apply_forward_mod_add_register	256	40	38	34	1120	1120	6368
291	tlm_apply_forward_mod_add_register	256	41	39	35	1119	1119	6139
292	tlm_apply_forward_mod_add_register	256	42	40	36	1118	1118	6125
293	tlm_apply_forward_mod_add_register	256	41	39	35	1119	1119	6139
294	tlm_apply_forward_mod_add_register	256	42	40	36	1118	1118	6125
295	tlm_apply_forward_mod_add_register	256	43	41	37	1117	1117	5827
296	tlm_apply_forward_mod_add_register	256	42	40	36	1118	1118	6125
297	tlm_apply_forward_mod_add_register	256	43	41	37	1117	1117	5827
298	tlm_apply_forward_mod_add_register	256	44	42	38	1116	1116	5827
299	tlm_apply_forward_mod_add_register	256	43	41	37	1117	1117	5827
300	tlm_apply_forward_mod_add_register	256	44	42	38	1116	1116	5827
301	tlm_apply_forward_mod_add_register	256	45	43	39	1115	1115	5514
302	tlm_apply_forward_mod_add_register	256	44	42	38	1116	1116	5827
303	tlm_apply_forward_mod_add_register	256	45	43	39	1115	1115	5514
304	tlm_apply_forward_mod_add_register	256	46	44	40	1114	1114	5514
305	tlm_apply_forward_mod_add_register	256	45	43	39	1115	1115	5514
306	tlm_apply_forward_mod_add_register	256	46	44	40	1114	1114	5514
307	tlm_apply_forward_mod_add_register	256	47	45	41	1113	1113	5514
308	tlm_apply_forward_mod_add_register	256	46	44	40	1114	1114	5514
309	tlm_apply_forward_mod_add_register	256	47	45	41	1113	1113	5514
310	tlm_apply_forward_mod_add_register	256	48	46	42	1112	1112	5514
311	tlm_apply_forward_mod_add_register	256	47	45	41	1113	1113	5514
312	tlm_apply_forward_mod_add_register	256	48	46	42	1112	1112	5514
313	tlm_apply_forward_mod_add_register	256	49	47	43	1111	1111	5201
314	tlm_apply_forward_mod_add_register	256	48	46	42	1112	1112	5514
315	tlm_apply_forward_mod_add_register	256	49	47	43	1111	1111	5201
316	tlm_apply_forward_mod_add_register	256	50	48	44	1110	1110	5201
317	tlm_apply_forward_mod_add_register	256	49	47	43	1111	1111	5201
318	tlm_apply_forward_mod_add_register	256	50	48	44	1110	1110	5201
319	tlm_apply_forward_mod_add_register	256	51	49	45	1109	1109	5201
